participant_id,maxpay,maxfare_1,maxfare_2,maxfare_3,maxfare_4,maxfare_5,maxfare_7,conf_right,conf_safetech,conf_safe,supportl_dv_1,supportl_dv_2,supportl_dv_3,supportl_dv_4,supportl_dv_5,supportl_dv_6,acc_blame_programmer,acc_blame_company,acc_blame_govt,acc_blame_other,acc_blame_other_text,reg_focus_safety,reg_focus_innovation,reg_focus_other,reg_focus_other_text,company_purchase_rank_1,company_purchase_rank_2,company_purchase_rank_3,company_purchase_rank_4,company_purchase_rank_5,company_purchase_rank_6,company_purchase_rank_7,opinions,future,you_alone,friends_alone,family_alone,stranger_alone,you_pass,friends_pass,family_pass,stranger_pass,benefits_oe,risks_oe,media,drive,taxi,publictransit,bike,attn2,firstmover_1,firstmover_2,firstmover_3,firstmover_4,firstmover_5,firstmover_6r,race,edu,status,Employment.Status,Sex,Country.of.Birth,First.Language,Ethnicity..Simplified.,Current.Country.of.Residence,Student.Status,Nationality
56888951d7848e000c39a122,50000,1,6,8,20,7,9,Not very confident,Somewhat confident,Somewhat confident,Agree,Agree,Somewhat agree,Somewhat disagree,Agree,Agree,50,50,0,0,,100,0,0,,1,2,7,3,4,5,6,Experts in technology,Within 5-10 years,Moderately comfortable,Moderately comfortable,Moderately comfortable,Slightly uncomfortable,Slightly uncomfortable,Slightly comfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Lack of accidents ,"Hacking, price, theft",Within the past few months,Never,Never,Never,A few times per week,A few times a year,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,White,4 year degree,4th Rung,"Not in paid work (e.g. homemaker', 'retired or disabled)",Female,United States,English,White,United States,No,United States
5690a966a3b94e000d6c3c13,20000,8,8,4,20,4,6,Not very confident,Not very confident,Not very confident,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly disagree,20,80,0,0,,100,0,0,,1,2,3,7,5,4,6,The general public,Within 10-20 years,Extremely uncomfortable,Extremely uncomfortable,Extremely uncomfortable,Extremely uncomfortable,Moderately uncomfortable,Moderately uncomfortable,Moderately uncomfortable,Moderately uncomfortable,"autonomy, freedom, safety","safety, hacking, privacy",Within the past year,Never,Never,A few times a year,A few times a year,A few times a year,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,White,2 year degree,8th Rung,Part-Time,Female,United States,English,White,United States,No,United States
569298838d93fe000dfa033c,0,3,0,3,20,0,0,Not very confident,Not very confident,Not very confident,Agree,Agree,Agree,Disagree,Disagree,Agree,45,34,21,0,,100,0,0,,4,7,3,1,2,5,6,Experts in technology,Within 10-20 years,Extremely uncomfortable,Extremely uncomfortable,Extremely uncomfortable,Extremely uncomfortable,Extremely uncomfortable,Extremely uncomfortable,Extremely uncomfortable,Extremely uncomfortable,probably future safety,possible human injuries,Within the past week,A few times per week,Never,Never,Never,A few times a year,Disagree,Disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,White,4 year degree,6th Rung,Part-Time,Female,United States,English,White,United States,No,United States
569916e4b0e16500050131b4,41000,10,5,6,20,3,1,Somewhat confident,Somewhat confident,Somewhat confident,Agree,Agree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,30,50,10,10,Owner of AV,90,10,0,,1,3,2,7,4,6,5,The government,Within 20-50 years,Moderately comfortable,Extremely comfortable,Moderately comfortable,Extremely comfortable,Moderately comfortable,Extremely comfortable,Moderately comfortable,Extremely comfortable,Reduction in accidents,Bugs in programming,Within the past few months,Daily,Never,Never,Less than once a year,A few times a year,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,White,High school graduate,3rd Rung,Full-Time,Male,United States,English,White,United States,No,United States
56bae08f30d6b30005f8537a,27000,8,5,5,20,4,1,Somewhat confident,Very confident,Very confident,Agree,Strongly agree,Agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,8,86,6,0,,60,40,0,,1,7,3,2,6,5,4,Experts in ethics and social problems,Within 5-10 years,Slightly comfortable,Moderately comfortable,Slightly comfortable,Neither comfortable nor uncomfortable,Slightly comfortable,Slightly comfortable,Slightly comfortable,Slightly comfortable,Less vehicle traffic,Big software errors ,Within the past month,Once a month,A few times each month,A few times each month,A few times per week,A few times a year,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,"White,Hispanic or Latinx",4 year degree,7th Rung,Part-Time,Male,United States,English,White,United States,No,United States
56d7848303a4c2000c876dbd,38000,5,5,3,20,4,2,Very confident,Very confident,Very confident,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,0,0,0,100,,92,8,0,,1,7,6,3,2,4,5,Experts in technology,Within the next 5 years,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,"safety efficient, cost","breakdowns, internet crash, none other",Within the past week,Daily,Never,Never,A few times a year,A few times a year,Agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Disagree,White,High school graduate,5th Rung,"Not in paid work (e.g. homemaker', 'retired or disabled)",Male,United States,English,White,United States,No,United States
56e70a4cc89073000de74a5f,35000,10,5,10,20,5,2,Not very confident,Not very confident,Not very confident,Disagree,Somewhat disagree,Somewhat disagree,Agree,Disagree,Disagree,50,50,0,0,,71,29,0,,3,1,2,7,5,4,6,Experts in technology,Within the next 5 years,Moderately uncomfortable,Slightly uncomfortable,Slightly uncomfortable,Extremely uncomfortable,Slightly uncomfortable,Slightly uncomfortable,Slightly uncomfortable,Slightly uncomfortable,ease of use,not very safe,Within the past few months,Daily,Never,Never,Never,A few times a year,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,White,Some college,8th Rung,Part-Time,Male,United States,English,White,United States,No,United States
56e94d6e098153000a40d59a,0,10,0,6,20,0,2,Not confident at all,Not very confident,Not very confident,Somewhat disagree,Somewhat disagree,Disagree,Somewhat agree,Disagree,Disagree,23,61,0,16,,92,8,0,,3,1,2,7,4,6,5,The general public,Within 10-20 years,Extremely uncomfortable,Extremely uncomfortable,Extremely uncomfortable,Extremely uncomfortable,Moderately uncomfortable,Moderately uncomfortable,Moderately uncomfortable,Moderately uncomfortable,"transportation, availability, reliability","accidents, death, costs",Within the past few months,A few times each month,Less than once a year,Never,A few times a year,A few times a year,Disagree,Somewhat disagree,Neither agree nor disagree,Agree,Agree,Agree,White,Some college,9th Rung,Part-Time,Female,United States,English,White,United States,No,United States
56ee016b65ca4d000cc39d28,50000,16,14,15,20,18,9,Somewhat confident,Not very confident,Somewhat confident,Somewhat disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Somewhat disagree,67,13,20,0,,60,40,0,,1,3,2,5,4,6,7,Experts in technology,Within 10-20 years,Extremely uncomfortable,Extremely uncomfortable,Extremely uncomfortable,Extremely uncomfortable,Moderately uncomfortable,Moderately uncomfortable,Moderately uncomfortable,Moderately uncomfortable,"cheaper, innovative, efficient","unsafe, automated, programmed",Within the past month,Never,A few times per week,Daily,A few times per week,A few times a year,Somewhat agree,Agree,Agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,"White,Black or African American,Asian",4 year degree,6th Rung,Full-Time,Female,United States,English,Mixed,United States,No,United States
56fdff4ee0f9ff000f19c466,0,10,0,10,20,0,0,Not confident at all,Not very confident,Not very confident,Strongly disagree,Disagree,Strongly disagree,Somewhat disagree,Disagree,Strongly disagree,9,74,0,17,,87,0,13,environmental effect,1,5,4,2,3,6,7,Experts in technology,Within 50-100 years,Extremely uncomfortable,Moderately uncomfortable,Moderately uncomfortable,Moderately uncomfortable,Moderately uncomfortable,Moderately uncomfortable,Moderately uncomfortable,Moderately uncomfortable,save companies money,accidents and unemployment,Within the past month,Never,A few times a year,A few times a year,A few times each month,A few times a year,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,White,4 year degree,3rd Rung,"Not in paid work (e.g. homemaker', 'retired or disabled)",Female,United States,English,White,United States,No,United States
572a31e8d7299f000f7b594a,30000,10,10,4,20,5,2,Somewhat confident,Not very confident,Somewhat confident,Disagree,Somewhat disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,40,56,4,0,,79,21,0,,2,4,3,1,5,6,7,The autonomous vehicle companies themselves,Within 5-10 years,Slightly uncomfortable,Neither comfortable nor uncomfortable,Moderately uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Slightly comfortable,Slightly uncomfortable,Slightly comfortable,"Time, Multitasking, Ease","Faults, Glitches, Fear",Within the past month,Daily,A few times a year,Less than once a year,Less than once a year,A few times a year,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Agree,White,4 year degree,4th Rung,Full-Time,Female,United States,English,Other,United States,No,United States
574ce0a57fd0ec000db73aa6,40000,0,3,0,20,0,3,Somewhat confident,Very confident,Somewhat confident,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,75,15,10,0,,80,20,0,,5,6,4,1,2,7,3,Experts in technology,Within 5-10 years,Moderately comfortable,Slightly comfortable,Slightly comfortable,Slightly uncomfortable,Moderately comfortable,Slightly comfortable,Slightly comfortable,Slightly uncomfortable,Greatly increased productivity,Safety of passengers,Within the past month,A few times per week,Never,Never,Never,A few times a year,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Somewhat agree,White,High school graduate,8th Rung,"Not in paid work (e.g. homemaker', 'retired or disabled)",Female,United States,English,White,United States,No,United States
5758a211cb13810006479a0d,40000,5,0,5,20,0,0,Not very confident,Somewhat confident,Not very confident,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,30,70,0,0,,100,0,0,,1,4,3,5,2,6,7,Experts in technology,Within 10-20 years,Extremely uncomfortable,Extremely uncomfortable,Extremely uncomfortable,Neither comfortable nor uncomfortable,Extremely uncomfortable,Extremely uncomfortable,Extremely uncomfortable,Neither comfortable nor uncomfortable,less human error,more computer error,Within the past month,A few times per week,Never,Never,A few times per week,A few times a year,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Disagree,White,Some college,8th Rung,Full-Time,Male,United States,English,White,United States,No,United States
5774a41a25b75a0001adae1f,35000,12,10,10,20,10,5,Not very confident,Somewhat confident,Not very confident,Somewhat disagree,Disagree,Disagree,Somewhat agree,Neither agree nor disagree,Disagree,40,48,12,0,,80,20,0,,1,4,2,3,5,6,7,Experts in technology,Within 5-10 years,Extremely uncomfortable,Slightly uncomfortable,Extremely uncomfortable,Slightly uncomfortable,Moderately uncomfortable,Moderately uncomfortable,Moderately uncomfortable,Slightly uncomfortable,"Technology, safety, innovation","Safety, technology, expenses",Within the past year,A few times per week,Less than once a year,Less than once a year,A few times a year,A few times a year,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Black or African American,4 year degree,5th Rung,"Not in paid work (e.g. homemaker', 'retired or disabled)",Female,United States,English,Black,United States,No,United States
5783d6029bd3d70001e4e547,40000,19,11,13,20,6,5,Not very confident,Somewhat confident,Not very confident,Agree,Agree,Agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,0,87,13,0,,83,17,0,,1,7,2,3,6,4,5,Experts in technology,Within 10-20 years,Moderately uncomfortable,Slightly uncomfortable,Moderately uncomfortable,Neither comfortable nor uncomfortable,Extremely uncomfortable,Slightly uncomfortable,Slightly uncomfortable,Moderately uncomfortable,Safety for drivers,System uncertainty ,Within the past year,Daily,Once a month,A few times a year,Daily,A few times a year,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,White,Professional degree,7th Rung,Full-Time,Male,United States,English,White,United States,No,United States
57aa19969bea1e000132491e,18000,10,0,10,20,5,0,Not very confident,Not very confident,Not very confident,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Disagree,60,40,0,0,,100,0,0,,1,2,3,4,5,7,6,Experts in technology,Within 20-50 years,Extremely uncomfortable,Moderately uncomfortable,Extremely uncomfortable,Neither comfortable nor uncomfortable,Moderately uncomfortable,Moderately uncomfortable,Extremely uncomfortable,Neither comfortable nor uncomfortable,safety automated technology,failure unknown morality,Within the past year,Daily,A few times a year,Never,Less than once a year,A few times a year,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,White,Some college,5th Rung,Full-Time,Female,United States,English,White,United States,No,United States
57abc011f00139000156f638,0,10,0,10,20,0,0,Not confident at all,Not confident at all,Not confident at all,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Disagree,Strongly disagree,60,40,0,0,,83,17,0,,2,3,1,7,6,4,5,The general public,Within 10-20 years,Extremely uncomfortable,Extremely uncomfortable,Extremely uncomfortable,Extremely uncomfortable,Extremely uncomfortable,Extremely uncomfortable,Extremely uncomfortable,Extremely uncomfortable,For deliveries,Not trained in ethics,Within the past few years,Daily,Never,Never,A few times a year,A few times a year,Somewhat disagree,Somewhat disagree,Somewhat disagree,Agree,Somewhat disagree,Agree,White,Some college,4th Rung,Part-Time,Female,United States,English,White,United States,No,United States
57d8e1cdb9fb6f0001dda345,50000,10,8,5,20,5,4,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,75,11,0,14,Road conditions ,96,4,0,,3,4,1,5,2,6,7,Experts in technology,Within 5-10 years,Moderately comfortable,Moderately comfortable,Slightly comfortable,Moderately comfortable,Moderately comfortable,Moderately comfortable,Moderately comfortable,Moderately comfortable,More safe travels ,Out of control,Within the past year,Never,A few times each month,A few times a year,A few times per week,A few times a year,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,White,Some college,8th Rung,Full-Time,Female,United States,English,White,United States,No,United States
581649f0b434f0000184d2a9,20000,9,4,6,20,5,3,Not confident at all,Not very confident,Not confident at all,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Disagree,Somewhat disagree,38,56,6,0,,100,0,0,,1,3,2,7,4,6,5,The general public,Within 10-20 years,Moderately uncomfortable,Moderately uncomfortable,Slightly uncomfortable,Slightly uncomfortable,Slightly uncomfortable,Neither comfortable nor uncomfortable,Neither comfortable nor uncomfortable,Slightly comfortable,More consistency i,More preventable deaths,Within the past few months,Daily,Less than once a year,Once a month,Once a month,A few times a year,Strongly disagree,Neither agree nor disagree,Disagree,Agree,Agree,Strongly agree,White,4 year degree,7th Rung,Full-Time,Female,United States,English,White,United States,No,United States
581fcf9e8fbbba0001c0aa8a,0,10,5,10,20,5,3,Not very confident,Not very confident,Not very confident,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Disagree,Disagree,50,50,0,0,,80,20,0,,2,4,1,3,5,6,7,Experts in technology,Within 20-50 years,Moderately uncomfortable,Moderately uncomfortable,Moderately uncomfortable,Moderately uncomfortable,Moderately uncomfortable,Moderately uncomfortable,Moderately uncomfortable,Moderately uncomfortable,Reduced labor cost,"Decreased safety, liability",Within the past year,Daily,Less than once a year,Less than once a year,A few times each month,A few times a year,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Agree,White,4 year degree,5th Rung,Full-Time,Male,United States,English,White,United Kingdom,No,United States
5825ecee95f3030001cf889a,0,0,0,0,20,0,2,Not very confident,Not very confident,Not very confident,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,0,0,0,100,The driver,100,0,0,,3,5,4,1,2,7,6,The government,Within 20-50 years,Moderately comfortable,Moderately comfortable,Moderately comfortable,Slightly uncomfortable,Slightly uncomfortable,Neither comfortable nor uncomfortable,Slightly uncomfortable,Moderately comfortable,Big Safety improvements,Unaccountable crony capitalism,Within the past week,Never,Never,A few times each month,Daily,A few times a year,Somewhat agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat agree,Agree,White,Professional degree,2nd Rung,Full-Time,Male,United States,English,White,United States,No,United States
58295846e41098000132a1f9,0,30,0,36,20,1,1,Not very confident,Somewhat confident,Not very confident,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Somewhat agree,25,5,70,0,,90,10,0,,3,2,1,5,4,6,7,Experts in technology,Within 5-10 years,Extremely uncomfortable,Extremely uncomfortable,Extremely uncomfortable,Moderately uncomfortable,Extremely uncomfortable,Extremely uncomfortable,Moderately uncomfortable,Slightly uncomfortable,Less traffic policing,Self learning computers,Within the past few months,A few times a year,Never,Never,Daily,A few times a year,Strongly disagree,Neither agree nor disagree,Somewhat agree,Agree,Strongly agree,Agree,White,Some college,7th Rung,Unemployed (and job seeking),Female,United States,English,White,United States,No,United States
583b397f54686200010f1d20,10000,33,27,33,20,26,18,Somewhat confident,Very confident,Very confident,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,40,13,47,0,,51,49,0,,4,6,1,2,3,5,7,Experts in technology,Within 10-20 years,Extremely comfortable,Moderately comfortable,Extremely comfortable,Slightly comfortable,Moderately comfortable,Neither comfortable nor uncomfortable,Slightly comfortable,Moderately uncomfortable,You wont need to learn to drive.,Malfunctions.,I have never seen anything about autonomous vehicles,A few times a year,Never,Less than once a year,A few times each month,A few times a year,Somewhat agree,Agree,Somewhat disagree,Agree,Somewhat agree,Neither agree nor disagree,White,2 year degree,6th Rung,Full-Time,Female,United States,English,Black,United States,No,United States
586372cae16d530001b345b8,40000,10,11,9,20,20,0,Not confident at all,Somewhat confident,Somewhat confident,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Agree,Neither agree nor disagree,70,30,0,0,,60,19,21,,2,4,5,1,3,6,7,Experts in technology,Within 20-50 years,Extremely uncomfortable,Extremely uncomfortable,Extremely uncomfortable,Extremely uncomfortable,Slightly uncomfortable,Slightly uncomfortable,Slightly uncomfortable,Slightly uncomfortable,"Efficiency, relaxation, safety","Death, lawsuits, system failure",Within the past year,Never,Less than once a year,A few times each month,Daily,A few times a year,Agree,Agree,Agree,Agree,Agree,Strongly agree,White,4 year degree,8th Rung,Full-Time,Female,United States,English,White,United States,No,United States
588908498fd7f00001d735f8,40000,15,15,5,20,5,3,Very confident,Completely confident,Very confident,Strongly agree,Agree,Agree,Somewhat disagree,Agree,Somewhat agree,40,49,11,0,,53,47,0,,1,3,2,4,5,6,7,Experts in ethics and social problems,Within 5-10 years,Moderately comfortable,Extremely comfortable,Moderately comfortable,Extremely comfortable,Moderately comfortable,Moderately comfortable,Moderately comfortable,Extremely comfortable,better infrastructure traffic,loss of jobs,Within the past few months,A few times per week,Less than once a year,Less than once a year,A few times per week,A few times a year,Disagree,Disagree,Somewhat disagree,Somewhat agree,Agree,Neither agree nor disagree,White,2 year degree,6th Rung,Full-Time,Male,United States,English,White,New Zealand,No,United States
